,danceability,valence,year,fedfundrate,UnemploymentRate,recession,election,US_GDP,year_1,State_prisons,fertility,DeathRate,S&P500
121,0.5589999999999999,0.964,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
122,0.325,0.619,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
123,0.38,0.7490000000000001,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
124,0.384,0.453,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
125,0.777,0.942,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
126,0.662,0.599,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
127,0.6145,0.8575,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
128,0.616,0.685,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
129,0.219,0.394,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
130,0.652,0.6569999999999999,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
131,0.608,0.789,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
132,0.69,0.936,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
133,0.5,0.727,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
134,0.44,0.635,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
135,0.395,0.841,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
136,0.6365,0.913,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
137,0.491,0.811,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
138,0.677,0.942,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
139,0.606,0.971,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
140,0.4455,0.368,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
141,0.449,0.302,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
142,0.33,0.255,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
143,0.669,0.935,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
144,0.666,0.629,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
145,0.545,0.884,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
146,0.51,0.4215,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
147,0.506,0.854,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
148,0.575,0.972,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
149,0.423,0.77,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
150,0.545,0.372,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
151,0.691,0.682,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
152,0.767,0.991,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
153,0.563,0.335,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
154,0.622,0.9415,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
155,0.454,0.62,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
156,0.355,0.191,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
157,0.59,0.7290000000000001,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
158,0.707,0.974,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
159,0.31,0.377,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
