,danceability,valence,year,recession,election,fedfundrate,UnemploymentRate,US_GDP,Entertainment_GDP,year_1,State_prisons,fertility,DeathRate,S&P500
89,0.55,0.515,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
90,0.569,0.151,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
91,0.602,0.31,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
92,0.6755,0.4345,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
93,0.721,0.318,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
94,0.263,0.622,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
95,0.6980000000000001,0.561,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
96,0.739,0.31,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
97,0.8245,0.538,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
98,0.381,0.257,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
99,0.455,0.283,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
100,0.4370000000000001,0.344,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
101,0.7020000000000001,0.731,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
102,0.657,0.182,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
103,0.779,0.621,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
104,0.569,0.193,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
105,0.64,0.7,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
106,0.732,0.731,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
107,0.8,0.882,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
108,0.578,0.7829999999999999,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
109,0.7689999999999999,0.409,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
110,0.75,0.672,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
111,0.721,0.882,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
112,0.333,0.342,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
113,0.601,0.462,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
114,0.371,0.426,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
115,0.5575,0.7064999999999999,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
116,0.62,0.6765,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
117,0.863,0.7829999999999999,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
118,0.356,0.518,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
119,0.913,0.764,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
120,0.556,0.7020000000000001,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
121,0.594,0.18,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
122,0.7505,0.6509999999999999,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
123,0.8740000000000001,0.7170000000000001,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
124,0.735,0.591,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
125,0.631,0.826,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
126,0.583,0.191,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
127,0.662,0.399,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
128,0.685,0.3720000000000001,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
129,0.652,0.459,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
130,0.743,0.578,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
131,0.5920000000000001,0.208,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
132,0.758,0.895,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
133,0.5005,0.386,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
134,0.627,0.912,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
135,0.834,0.9755,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
136,0.662,0.399,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
137,0.425,0.933,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
138,0.705,0.76,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
139,0.68,0.8140000000000001,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
140,0.383,0.476,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
141,0.698,0.275,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
142,0.6890000000000001,0.483,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
143,0.731,0.7759999999999999,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
144,0.532,0.125,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
145,0.609,0.961,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
146,0.648,0.51,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
